
Name                                               AppID
Windows PowerShell ISE (x86)                       {D65231B0-B2F1-4857-A4CE-A8E7C6EA7D27}\WindowsPowerShell\v1.0\PowerShell_ISE.exe
Windows Security                                   Microsoft.SecHealthUI_8wekyb3d8bbwe!SecHealthUI
Windows Tools                                      Microsoft.Windows.AdministrativeTools
WinObj                                             Microsoft.SysinternalsSuite_8wekyb3d8bbwe!Winobj
Wireless Display                                   Microsoft.PPIProjection_cw5n1h2txyewy!Microsoft.PPIProjection
Word                                               Microsoft.Office.WINWORD.EXE.15
WSL                                                Microsoft.WSL
WSL Settings                                       {6D809377-6AF0-444B-8957-A3773F02200E}\WSL\wslsettings\wslsettings.exe
Xarchiver (Ubuntu-22.04)                           Microsoft.AutoGenerated.{05C38D3E-327A-5C91-C031-545033523D97}
Xfburn (Ubuntu-22.04)                              Microsoft.AutoGenerated.{BDB6BDE9-240A-1F26-9439-936F2B254842}
Xfce Terminal (Ubuntu-22.04)                       Microsoft.AutoGenerated.{0B779D18-EFB6-91D6-6E9D-EAF96725D0CB}
Xfce Terminal Settings (Ubuntu-22.04)              Microsoft.AutoGenerated.{899032A7-3942-8031-E97F-15B8896BE3E8}
YouTube                                            Chrome._crx_agimnkijcamfeangaknmldooml
YouTube Music                                      music.youtube.com-5929F88E_vezhnr0wkvrcy!App
YouTube TV                                         Chrome._crx_nlmaamaoahgbafebhafkeccjac
Zoom Workplace                                     zoom.us.Zoom Video Meetings
ZoomIt                                             Microsoft.SysinternalsSuite_8wekyb3d8bbwe!ZoomIt

